cycle,dom_a,npts_a,mass_a,dom_b,npts_b,mass_b,chosen
2,,0,0.0,,0,0.0,
3,,0,0.0,0.559463986599665,3,0.75,
4,,0,0.0,0.559463986599665,3,0.6,
5,,0,0.0,0.559463986599665,3,0.5,
6,,0,0.0,0.559463986599665,3,0.42857142857142855,
7,,0,0.0,0.559463986599665,3,0.375,
8,,0,0.0,0.559463986599665,3,0.3333333333333333,
9,,0,0.0,0.559463986599665,3,0.3,
10,0.541038525963149,3,0.2727272727272727,0.5628140703517588,4,0.36363636363636365,0.551926298157454
11,0.22110552763819094,3,0.25,0.7829145728643216,5,0.4166666666666667,
12,0.22110552763819094,3,0.23076923076923078,0.7829145728643216,5,0.38461538461538464,
13,0.22110552763819094,3,0.21428571428571427,0.5608040201005025,5,0.35714285714285715,
14,0.22110552763819094,3,0.2,0.5628140703517589,6,0.4,
15,0.5515075376884422,4,0.25,0.5549174443646806,7,0.4375,0.5532124910265614
16,0.2185929648241206,4,0.23529411764705882,0.5549174443646806,7,0.4117647058823529,
17,0.2185929648241206,4,0.2222222222222222,0.5549174443646806,7,0.3888888888888889,
18,0.813065326633166,5,0.2631578947368421,0.5549174443646806,7,0.3684210526315789,
19,0.5457286432160804,5,0.25,0.5552763819095478,8,0.4,0.550502512562814
20,0.5376884422110553,6,0.2857142857142857,0.5549972082635399,9,0.42857142857142855,0.5463428252372976
21,0.5376884422110553,6,0.2727272727272727,0.5549972082635399,9,0.4090909090909091,0.5463428252372976
22,0.5340990667623833,7,0.30434782608695654,0.5549972082635399,9,0.391304347826087,0.5445481375129616
23,0.5340990667623833,7,0.2916666666666667,0.5542713567839197,10,0.4166666666666667,0.5441852117731515
24,0.5340990667623833,7,0.28,0.5829145728643217,14,0.56,
25,0.22110552763819097,7,0.28,0.5872218234027279,14,0.56,
26,0.2185929648241206,8,0.32,0.5843503230437904,14,0.56,
27,0.2185929648241206,8,0.32,0.5822445561139029,15,0.6,
28,0.214963707426019,9,0.36,0.577889447236181,15,0.6,
29,0.21608040201005027,10,0.4,0.577889447236181,15,0.6,
30,0.21608040201005027,10,0.4,0.5772613065326633,16,0.64,
31,0.2221105527638191,10,0.4,0.5704995566065623,17,0.68,
32,0.2221105527638191,10,0.4,0.5697934115019543,18,0.72,
