name,ra_deg,dec_deg,z,DM_obs_pc_cm3,DM_exgal_pc_cm3,survey
FRB20240210A,8.7796,-28.2708,0.0237,283.73,255.10,ASKAP
FRB20221116A,21.2110,72.6538,0.2764,640.60,508.27,DSA
FRB20180916B,29.5031,65.7168,0.0337,348.76,149.91,CHIME
FRB20220319D,32.1779,71.0353,0.0111,110.95,-28.83,DSA
FRB20200906A,53.4962,-14.0832,0.3688,577.84,542.02,ASKAP
FRB20221106A,56.7048,-25.5698,0.2044,343.80,309.07,ASKAP
FRB20240123A,68.2625,71.9453,0.9680,1462.00,1371.72,DSA
FRB20240224A,70.1149,73.5128,0.4200,881.20,797.36,DSA
FRB20221113A,71.4110,70.3074,0.2505,411.40,319.73,DSA
FRB20220726A,73.9455,69.9295,0.3610,686.55,597.03,DSA
FRB20201124A,77.0146,26.0607,0.0982,411.00,271.06,MeerKAT
FRB20121102A,82.9946,33.1479,0.1927,558.10,369.70,VLA
FRB20180301A,93.2268,4.6711,0.3304,536.00,384.39,ASKAP
FRB20231220A,123.9087,73.6599,0.3355,491.20,441.32,DSA
FRB20221027A,130.8720,72.1009,0.2290,452.50,405.34,DSA
FRB20220310F,134.7205,73.4908,0.4790,462.15,415.87,DSA
FRB20240304A,136.3308,-16.1666,0.2423,652.60,578.84,ASKAP
FRB20221029A,141.9635,72.4526,0.9750,1391.05,1347.14,DSA
FRB20231120A,143.9840,73.2847,0.0700,438.90,395.13,DSA
FRB20240201A,149.9056,14.0880,0.0427,374.50,335.93,ASKAP
FRB20231226A,155.3637,6.1103,0.1569,329.90,291.83,ASKAP
FRB20230216A,156.4722,3.4367,0.5310,828.00,789.52,DSA
FRB20211212A,157.3507,1.3605,0.0707,209.00,170.16,ASKAP
FRB20220330D,163.7512,70.3507,0.3714,468.10,429.45,DSA
FRB20240213A,166.1683,74.0754,0.1185,357.40,317.29,DSA
FRB20230628A,166.7867,72.2818,0.1265,345.15,306.04,DSA
FRB20230712A,167.3585,72.5578,0.4525,586.96,547.76,DSA
FRB20240229A,169.9835,70.6762,0.2870,491.15,453.21,DSA
FRB20230307A,177.7816,71.6951,0.2710,608.90,571.30,DSA
FRB20190714A,183.9797,-13.0210,0.2365,504.13,465.74,ASKAP
FRB20211127I,199.8087,-18.8380,0.0469,234.97,192.51,ASKAP
FRB20210320C,204.4587,-16.1227,0.2797,384.59,345.41,ASKAP
FRB20190523A,207.0650,72.4697,0.6600,760.80,723.57,DSA
FRB20220105A,208.8042,22.4661,0.2785,580.00,558.06,ASKAP
FRB20220418A,219.1056,70.0959,0.6220,623.45,586.76,DSA
FRB20240119A,224.4672,71.6118,0.3700,483.10,445.19,DSA
FRB20200430A,229.7064,12.3768,0.1610,380.00,352.92,ASKAP
FRB20230124A,231.9170,70.9681,0.0940,590.60,552.07,DSA
FRB20230626A,235.6296,71.1335,0.3270,451.20,412.03,DSA
FRB20220920A,240.2571,70.9188,0.1585,315.00,275.11,DSA
FRB20231123B,242.5382,70.7851,0.2625,396.70,356.45,DSA
FRB20221219A,257.6298,71.6268,0.5540,706.70,662.31,DSA
FRB20240215A,268.4413,70.2324,0.2100,549.50,501.49,DSA
FRB20220204A,274.2263,69.7225,0.4000,612.20,561.47,DSA
FRB20221012A,280.7987,70.5242,0.2840,442.20,387.84,DSA
FRB20220914A,282.0568,73.3369,0.1138,631.05,576.36,DSA
FRB20220509G,282.6700,70.2438,0.0894,269.50,213.92,DSA
FRB20210807D,299.2214,-0.7624,0.1293,251.30,130.04,ASKAP
FRB20220207C,310.1995,72.8823,0.0430,262.30,186.29,DSA
FRB20220825A,311.9815,72.5849,0.2414,651.20,572.71,DSA
FRB20221203A,315.1295,72.0376,0.5100,602.25,518.85,DSA
FRB20220506D,318.0448,72.8273,0.3005,396.93,312.44,DSA
FRB20220208A,322.5751,70.0410,0.3510,437.00,335.36,DSA
FRB20190608B,334.0199,-7.8983,0.1178,340.05,302.86,ASKAP
FRB20230814B,335.9748,73.0259,0.5535,696.40,591.53,DSA
FRB20210117A,339.9792,-16.1515,0.2145,728.95,694.69,ASKAP
FRB20230501A,340.0271,70.9221,0.3010,532.50,406.94,DSA
FRB20221101B,342.2158,70.6815,0.2395,490.70,359.51,DSA
FRB20191228A,344.4304,-29.5941,0.2430,298.00,265.15,ASKAP
FRB20220307B,350.8745,72.1924,0.2507,499.15,370.96,DSA
FRB20230521B,351.0360,71.1380,1.3540,1342.90,1204.15,DSA
